customer_id,name,age,gender,owns_car,owns_house,no_of_children,net_yearly_income,no_of_days_employed,occupation_type,total_family_members,migrant_worker,yearly_debt_payments,credit_limit,credit_limit_used(%),credit_score,prev_defaults,default_in_last_6months,credit_card_default
CST_109407,Olga Popova,37,0,0,1,0.0,137424.32,5098.0,High skill tech staff,2.0,1.0,46997.72,20818.46,32,773.0,0,0,0.0
CST_135447,Ross,43,1,1,1,0.0,151395.1,170.0,High skill tech staff,1.0,0.0,5394.63,26421.77,18,770.0,0,0,0.0
CST_106785,Suvashree Dey,52,0,0,0,1.0,181218.31,4571.0,Managers,2.0,0.0,28211.3,21475.99,88,688.0,0,0,0.0
CST_146595,Alexei,38,0,0,1,0.0,162640.59,4265.0,Core staff,2.0,0.0,20146.81,43572.98,90,760.0,0,0,0.0
CST_107362,ill Rigby,27,0,0,0,0.0,125334.48,1635.0,Unknown,2.0,0.0,25379.06,27338.68,8,702.0,0,0,0.0
CST_115260,Deepa Seetharaman,29,0,0,1,2.0,193785.45,244.0,Laborers,4.0,1.0,20051.98,29354.77,63,745.0,0,0,0.0
CST_150521,Papadimas,39,0,0,1,0.0,80165.59,1081.0,Unknown,2.0,0.0,33957.8,20941.72,15,857.0,0,0,0.0
CST_107751,Sonali Paul,44,0,0,0,1.0,95152.57,2938.0,Secretaries,3.0,0.0,22034.63,14181.98,87,893.0,0,0,0.0
CST_134197,Clare,52,1,1,0,2.0,253973.88,5362.0,Laborers,4.0,0.0,12460.75,42963.53,96,681.0,0,0,0.0
CST_162278,White,36,1,0,0,0.0,232344.02,1831.0,Unknown,2.0,0.0,16997.78,50330.82,49,935.0,0,0,0.0
CST_165760,Viswanatha,50,0,0,0,1.0,171253.04,2702.0,Laborers,2.0,1.0,18128.79,30384.82,98,693.0,0,0,0.0
CST_116208,Alwyn Scott,53,0,0,1,0.0,145803.39,4800.0,Laborers,2.0,0.0,12026.53,22140.37,76,727.0,0,0,0.0
CST_157846,Anna,41,0,0,1,2.0,192194.03,1783.0,Managers,4.0,0.0,29847.66,45979.35,96,654.0,0,0,1.0
CST_140433,Nadia,42,0,0,1,1.0,165585.25,514.0,Core staff,3.0,0.0,15397.75,59340.37,26,718.0,0,0,0.0
CST_129279,Ryan,30,0,0,1,2.0,110051.8,1902.0,Core staff,4.0,0.0,38132.09,25904.39,56,721.0,0,0,0.0
CST_156343,Lema,30,0,1,0,1.0,261583.33,2092.0,Unknown,3.0,0.0,17276.32,30901.61,15,693.0,0,0,0.0
CST_135183,Svea,35,0,0,1,0.0,336651.1,985.0,Laborers,1.0,0.0,46299.65,81131.1,35,843.0,0,0,0.0
CST_147377,Protard,42,1,1,1,0.0,130171.39,1452.0,Unknown,1.0,0.0,19728.28,16256.13,48,740.0,0,0,0.0
CST_150621,Mackey,41,1,1,0,0.0,135730.97,1105.0,Drivers,2.0,0.0,17269.4,17112.61,90,817.0,0,0,0.0
CST_119897,Olivia Oran,23,0,0,1,1.0,230867.98,1197.0,Unknown,3.0,0.0,50925.26,57518.96,30,737.0,0,0,0.0
CST_137765,Jan,48,1,0,0,1.0,116333.94,1428.0,Core staff,2.0,1.0,39140.36,14588.42,74,749.0,0,0,0.0
CST_128253,rian,29,0,0,1,0.0,348071.87,685.0,Unknown,2.0,1.0,54692.32,74526.85,25,685.0,0,0,0.0
CST_115148,Michael Erman,52,0,0,1,0.0,167062.47,6662.0,Drivers,1.0,0.0,10833.01,40494.48,88,744.0,0,0,0.0
CST_140377,Kirstin,42,1,0,1,0.0,135221.27,2148.0,Managers,2.0,0.0,29916.4,29812.82,45,684.0,0,0,0.0
CST_165389,Stempel,53,0,1,1,1.0,215394.19,1176.0,Sales staff,3.0,0.0,29274.34,42690.19,98,843.0,0,0,0.0
CST_152848,S,40,1,0,1,0.0,129050.19,386.0,Unknown,2.0,0.0,28300.04,15895.59,3,839.0,0,0,0.0
CST_129712,Tom,44,1,1,1,0.0,212821.38,1406.0,Laborers,2.0,1.0,38417.01,51664.43,39,764.0,0,0,0.0
CST_142077,Rodrigo,40,0,1,1,0.0,90320.11,5262.0,Core staff,2.0,0.0,10459.7,18695.16,60,755.0,0,0,0.0
CST_101370,Jan Strupczewski,41,1,0,0,0.0,168462.23,625.0,Laborers,2.0,0.0,50411.88,29907.35,69,797.0,0,0,0.0
CST_109396,Kirsten Donovan,52,1,0,1,0.0,221936.21,794.0,Laborers,2.0,0.0,35015.63,71528.44,88,598.0,1,1,1.0
CST_115444,Edwin Chan,25,1,1,1,2.0,75340.29,206.0,Laborers,4.0,1.0,36343.1,13524.66,64,775.0,0,0,0.0
CST_118734,Ju-min Park,38,0,0,1,0.0,181961.27,992.0,Managers,1.0,0.0,54436.86,68168.6,67,718.0,0,0,0.0
CST_105556,Leah Schnurr,31,0,0,0,0.0,185214.36,539.0,Unknown,1.0,0.0,30119.79,48709.78,2,773.0,0,0,0.0
CST_130092,Paul,26,0,1,1,0.0,145623.42,2078.0,Sales staff,2.0,0.0,30206.99,19296.56,21,789.0,0,0,0.0
CST_114016,Lidia Kelly,25,0,1,1,1.0,293466.08,2315.0,Accountants,3.0,0.0,22808.69,49832.74,15,748.0,0,0,0.0
CST_129906,Pedro,43,0,1,1,0.0,269250.22,1353.0,Managers,1.0,0.0,26233.5,65784.4,14,807.0,0,0,0.0
CST_152408,Spicer,29,1,0,1,0.0,122347.47,1691.0,Laborers,1.0,0.0,27157.83,17435.16,84,618.0,1,1,1.0
CST_105520,Sonali Paul,46,1,1,0,1.0,244933.75,2258.0,Drivers,3.0,1.0,48552.44,61178.52,53,748.0,0,0,0.0
CST_135173,David,27,1,0,1,1.0,266606.78,2979.0,Security staff,2.0,0.0,33340.67,54310.01,19,712.0,0,0,0.0
CST_132799,Tim,43,0,0,1,2.0,144296.66,4073.0,Sales staff,3.0,1.0,42362.96,15249.54,41,732.0,0,0,0.0
CST_116325,Mike Peacock,42,0,0,1,0.0,96186.16,581.0,Sales staff,2.0,1.0,32000.71,23498.18,23,811.0,0,0,0.0
CST_163407,Palmer,25,1,1,1,0.0,222365.53,1535.0,Laborers,1.0,0.0,19372.27,66306.05,7,699.0,0,0,0.0
CST_155045,Cruise,28,0,0,1,0.0,140148.05,1259.0,Cooking staff,1.0,0.0,11596.3,34303.37,66,744.0,0,0,0.0
CST_165348,Rucker,24,0,0,1,0.0,98599.83,868.0,Laborers,2.0,0.0,14753.58,22406.87,32,934.0,0,0,0.0
CST_110097,Herbert Lash,47,0,0,0,0.0,128736.04,1004.0,Sales staff,2.0,0.0,14774.1,48120.43,13,928.0,0,0,0.0
CST_160848,Clark,43,0,0,1,1.0,104983.77,1444.0,Medicine staff,2.0,0.0,17968.34,20095.51,49,822.0,0,0,0.0
CST_129641,Lucia,38,0,1,1,0.0,280086.39,663.0,Unknown,1.0,0.0,41426.79,80077.82,35,657.0,0,0,0.0
CST_132820,Karen,32,0,0,1,0.0,120379.15,2816.0,Medicine staff,2.0,1.0,32340.81,21531.18,11,733.0,0,0,0.0
CST_141020,Katya,32,1,0,1,0.0,168756.38,2384.0,Laborers,2.0,1.0,24678.45,48754.09,85,688.0,0,0,0.0
CST_143985,Ross,27,0,0,1,1.0,201464.31,3128.0,Unknown,3.0,1.0,16861.89,41908.73,21,883.0,0,0,0.0
CST_108646,Doug Palmer,54,1,0,0,1.0,222465.43,1411.0,Drivers,3.0,0.0,62952.29,63375.83,86,817.0,0,0,0.0
CST_148356,Prezioso,34,0,1,1,2.0,109491.6,3367.0,Core staff,4.0,0.0,20099.56,29765.18,91,894.0,0,0,0.0
CST_139806,Ross,41,1,0,0,0.0,171733.87,466.0,Unknown,2.0,1.0,28951.34,58371.76,86,653.0,0,0,0.0
CST_124114,Cummings Lauren,47,0,1,1,1.0,229520.11,919.0,Unknown,3.0,0.0,41860.28,23819.41,37,882.0,0,0,0.0
CST_130326,Carlyn,39,1,1,1,0.0,123833.47,3000.0,High skill tech staff,1.0,1.0,30906.3,29398.17,88,666.0,0,0,1.0
CST_149083,Lau,28,0,1,1,0.0,291861.11,884.0,Unknown,1.0,0.0,36164.92,60038.93,24,737.0,0,0,0.0
CST_138268,Tim,31,0,0,1,0.0,221034.12,1724.0,Unknown,1.0,0.0,31398.44,48465.65,75,758.0,0,0,0.0
CST_118350,Nadia Damouni,40,0,0,0,1.0,145420.64,160.0,High skill tech staff,3.0,0.0,19953.28,30585.1,15,697.0,0,0,0.0
CST_109091,Pedro Nicolaci,27,1,0,1,0.0,282270.03,443.0,Managers,1.0,0.0,41508.65,33487.18,66,653.0,0,0,0.0
CST_151027,Stempel,23,0,0,0,1.0,139036.42,1504.0,Secretaries,3.0,0.0,21169.25,41288.07,61,805.0,0,0,0.0
CST_163476,Brown,47,0,0,0,0.0,189089.85,1781.0,Managers,1.0,0.0,38477.85,23951.76,39,781.0,0,0,0.0
CST_160244,Jonas,51,0,0,0,2.0,144964.32,4001.0,Secretaries,4.0,0.0,60123.17,56332.97,84,949.0,0,0,0.0
CST_136702,Nigel,44,1,0,1,1.0,246420.15,126.0,Laborers,3.0,1.0,62820.22,71969.51,85,765.0,0,0,0.0
CST_103523,Lesley Wroughton,27,1,1,0,1.0,354887.06,3001.0,Drivers,3.0,0.0,48722.64,60468.61,81,689.0,0,0,0.0
CST_104420,Praveen Menon,55,1,1,0,0.0,83651.01,3051.0,Laborers,2.0,1.0,30705.76,27957.36,7,677.0,0,0,0.0
CST_116314,Michael Erman,47,1,0,1,0.0,123227.91,2340.0,Laborers,2.0,0.0,19948.07,41541.53,23,767.0,0,0,0.0
CST_129026,Chris,37,1,0,0,2.0,215195.94,1584.0,Laborers,4.0,0.0,19431.37,24317.18,9,900.0,0,0,0.0
CST_143769,Atossa,43,0,0,1,1.0,141480.73,1211.0,Laborers,3.0,0.0,15712.9,17167.88,78,863.0,0,0,0.0
CST_101560,P.J. Huffstutter,40,0,0,0,0.0,162345.67,377.0,Laborers,2.0,0.0,20574.54,29751.65,40,773.0,0,0,0.0
CST_100587,Gavin Jones,30,0,1,1,1.0,95287.73,755.0,Cleaning staff,2.0,0.0,14591.12,17716.15,88,881.0,0,0,0.0
CST_163044,Davey,43,0,0,1,0.0,167798.26,2564.0,Unknown,2.0,0.0,22844.57,36730.08,68,660.0,0,0,0.0
CST_148435,Goldstein,49,0,0,1,0.0,154684.2,1849.0,Security staff,1.0,0.0,28747.39,26176.06,39,744.0,0,0,0.0
CST_135070,Krista,23,1,1,1,0.0,119330.89,1144.0,Security staff,1.0,0.0,13845.75,45688.73,81,876.0,0,0,0.0
CST_123307,Tracy Rucinski,26,0,0,0,0.0,186992.91,2270.0,Laborers,1.0,0.0,51640.53,20767.72,66,884.0,0,0,0.0
CST_143260,Huw,24,0,0,1,0.0,110644.15,136.0,Sales staff,2.0,0.0,14587.01,38948.69,70,821.0,0,0,0.0
CST_119823,Natalie Thomas,23,1,0,0,0.0,168492.67,352.0,Low-skill Laborers,2.0,0.0,36096.36,36862.83,91,611.0,1,1,1.0
CST_139536,Ernest,25,0,0,1,1.0,149154.64,2342.0,Managers,2.0,0.0,46527.5,56593.36,3,891.0,0,0,0.0
CST_106680,Sudip Kar-Gupta,28,0,0,1,1.0,130772.33,1097.0,Sales staff,3.0,0.0,29960.38,28713.38,85,636.0,1,1,1.0
CST_144796,Manoj,52,1,0,1,0.0,137879.11,3110.0,Security staff,2.0,1.0,41704.05,33084.35,39,752.0,0,0,0.0
CST_101254,Nanette Byrnes,32,1,1,0,1.0,209164.82,1166.0,Security staff,3.0,0.0,18709.91,50777.67,47,892.0,0,0,0.0
CST_138721,Emelia,35,1,1,1,1.0,231774.83,307.0,Low-skill Laborers,3.0,1.0,34091.36,50375.04,36,823.0,0,0,0.0
CST_124882,Karolina Tagaris,40,0,1,0,0.0,102132.63,1822.0,Accountants,2.0,0.0,25304.57,21359.22,46,774.0,0,0,0.0
CST_123610,Noah Barkin,27,1,0,1,0.0,330015.87,2487.0,Managers,1.0,0.0,31422.08,51051.13,38,743.0,0,0,0.0
CST_134877,Steve,52,1,1,1,1.0,136272.8,2473.0,Low-skill Laborers,3.0,0.0,19236.36,26803.6,34,865.0,0,0,0.0
CST_106476,Madeline Chambers,31,1,1,1,1.0,146367.73,672.0,Drivers,3.0,0.0,47764.17,42081.89,58,929.0,0,0,0.0
CST_100397,Donny Kwok,29,0,0,1,0.0,184364.72,3004.0,Medicine staff,2.0,0.0,46703.62,30015.04,68,787.0,0,0,0.0
CST_149861,Milliken,34,0,0,1,0.0,258249.3,1636.0,Security staff,2.0,0.0,28852.08,55513.88,77,934.0,0,0,0.0
CST_132065,Lauren,54,0,0,1,0.0,76741.62,1006.0,Core staff,2.0,1.0,11854.65,17498.76,46,921.0,0,0,0.0
CST_102187,Dan Levine,25,0,0,1,0.0,165168.08,1653.0,Sales staff,2.0,0.0,18970.24,50800.08,16,747.0,0,0,0.0
CST_157311,Shirouzu,27,0,1,1,1.0,131914.77,866.0,Unknown,3.0,0.0,40350.5,32896.59,12,948.0,0,0,0.0
CST_122841,Pedro da,33,0,0,1,0.0,227823.1,1133.0,Medicine staff,2.0,1.0,12216.7,37947.07,1,749.0,0,0,0.0
CST_105127,Tim Kelly,25,0,0,0,0.0,102976.92,322.0,Sales staff,2.0,0.0,16209.78,19446.08,84,674.0,0,0,0.0
CST_107068,ill Rigby,46,0,0,0,1.0,111342.74,1862.0,Laborers,3.0,1.0,31114.77,35219.41,72,768.0,0,0,0.0
CST_112302,Jessica Wohl,54,1,1,1,0.0,100821.47,1841.0,Managers,2.0,0.0,10368.61,26210.17,51,718.0,0,0,0.0
CST_165935,Dye,55,0,0,1,0.0,130254.54,1222.0,Cleaning staff,2.0,0.0,34039.67,33117.37,47,685.0,0,0,0.0
CST_122749,Alex,45,0,1,1,0.0,293796.98,1253.0,Core staff,1.0,0.0,45516.18,85586.07,77,775.0,0,0,0.0
CST_159168,Slodkowski,24,1,0,1,0.0,198649.52,3858.0,Laborers,2.0,1.0,20917.69,33844.21,98,514.0,0,0,1.0
CST_158760,Stempel,31,0,0,0,0.0,107316.6,557.0,Laborers,2.0,1.0,23559.95,18957.74,55,870.0,0,0,0.0
CST_115437,Andrew Callus,54,1,1,1,2.0,228095.18,1981.0,Managers,4.0,0.0,57919.37,48353.44,23,698.0,0,0,0.0
CST_161755,Hepher,54,1,0,1,0.0,171385.2,2567.0,Laborers,2.0,0.0,24019.84,36494.64,75,842.0,0,0,0.0
CST_138760,Rhys,43,0,0,1,0.0,254369.43,6434.0,Unknown,2.0,0.0,49073.93,65383.06,95,851.0,0,0,0.0
CST_121217,Lefteris Papadimas,49,0,1,1,0.0,207352.85,1011.0,Managers,2.0,0.0,35117.83,43572.91,14,932.0,0,0,0.0
CST_155338,Adler,49,1,0,1,1.0,141605.37,2535.0,Unknown,3.0,0.0,34376.47,28142.6,33,733.0,0,0,0.0
CST_161532,McCrank,25,0,0,1,0.0,85792.69,1765.0,Sales staff,2.0,0.0,21780.39,29057.73,54,839.0,0,0,0.0
CST_100821,Rodrigo Campos,35,0,0,0,0.0,214343.97,935.0,Unknown,1.0,0.0,52364.17,25427.53,49,701.0,0,0,0.0
CST_104549,Kim Dixon,46,0,0,1,0.0,121400.41,1155.0,Unknown,1.0,0.0,11008.84,35435.47,9,923.0,0,0,0.0
CST_112849,Angela Moon,35,1,0,0,0.0,129095.0,5704.0,Drivers,2.0,0.0,32906.85,46967.28,78,676.0,0,0,1.0
CST_137190,Matt,52,0,0,0,0.0,113939.29,2262.0,Sales staff,1.0,0.0,20666.27,28249.78,73,513.0,0,0,1.0
CST_162839,Haynes,34,0,0,1,1.0,102907.38,3004.0,Sales staff,3.0,0.0,19174.56,29512.49,80,703.0,0,0,0.0
CST_113753,Tim Hepher,47,0,0,1,1.0,209584.09,423.0,Accountants,3.0,0.0,11102.64,45030.41,41,917.0,0,0,0.0
CST_147461,Baertlein,55,0,1,1,0.0,145843.83,343.0,Core staff,2.0,0.0,21043.59,40680.15,72,832.0,0,0,0.0
CST_146077,Alister,40,0,0,1,1.0,116703.12,2038.0,Unknown,2.0,0.0,13362.84,21193.84,85,546.0,2,1,1.0
CST_152319,Wong,41,1,0,1,1.0,105551.88,4359.0,Core staff,3.0,0.0,29890.54,13059.6,56,937.0,0,0,0.0
CST_156569,Jewkes,30,1,0,0,1.0,346689.47,5091.0,Drivers,3.0,0.0,30709.43,43786.94,88,652.0,0,0,0.0
CST_142697,Alwyn,35,1,1,0,0.0,223640.09,749.0,Laborers,2.0,0.0,43928.18,63404.82,28,861.0,0,0,0.0
CST_110228,Tetsushi Kajimoto,52,0,0,1,0.0,32257.04,696.0,Managers,2.0,0.0,9138.75,6479.53,81,678.0,0,0,0.0
CST_147460,Saba,34,1,1,1,0.0,134324.78,2535.0,Security staff,2.0,1.0,15561.26,40981.08,87,782.0,0,0,0.0
CST_135261,Soyoung,27,0,0,0,0.0,98710.07,1111.0,Sales staff,1.0,0.0,27986.98,18395.81,78,884.0,0,0,0.0
CST_161187,Georgiopoulos,26,0,0,1,0.0,80700.39,4630.0,Unknown,2.0,0.0,30757.05,10245.14,81,742.0,0,0,0.0
CST_149220,Adegoke,47,0,1,1,0.0,166200.32,1197.0,Laborers,1.0,0.0,39941.84,47950.6,67,759.0,0,0,0.0
CST_133541,Leika,27,0,0,1,0.0,108881.2,882.0,Secretaries,2.0,0.0,24993.8,36944.88,75,758.0,0,0,0.0
CST_112418,James Topham,44,0,0,0,0.0,79873.45,4575.0,Security staff,2.0,1.0,10609.51,8280.84,8,822.0,0,0,0.0
CST_164383,Cole,31,0,0,1,0.0,132982.67,4732.0,Unknown,2.0,1.0,15822.7,50138.39,37,895.0,0,0,0.0
CST_108800,Matthias Williams,37,1,0,1,0.0,124007.53,661.0,Security staff,2.0,0.0,37330.92,15456.38,67,911.0,0,0,0.0
CST_129574,Kiyoshi,24,1,0,0,0.0,82124.58,2290.0,Core staff,2.0,1.0,43356.6,23080.65,84,927.0,0,0,0.0
CST_134783,Matt,36,0,1,1,0.0,143229.75,385.0,High skill tech staff,2.0,0.0,22585.9,16323.66,49,659.0,0,0,0.0
CST_102358,Claire Davenport,37,0,0,0,0.0,198230.32,1932.0,Sales staff,2.0,1.0,24595.57,38236.63,20,796.0,0,0,0.0
CST_113747,Jonathan Stempel,47,0,0,1,0.0,124161.15,2031.0,Core staff,2.0,1.0,52198.65,25086.14,82,750.0,0,0,0.0
CST_115386,Anjuli Davies,44,0,1,1,2.0,125144.23,1775.0,Unknown,4.0,0.0,10180.03,19086.62,57,754.0,0,0,0.0
CST_144079,raden,37,0,0,1,0.0,261298.47,1284.0,Sales staff,1.0,0.0,29419.31,59482.33,20,716.0,0,0,0.0
CST_140383,Nanette,25,0,0,1,2.0,125101.87,4652.0,Cleaning staff,4.0,0.0,22581.09,16966.45,96,610.0,1,1,1.0
CST_137660,Nick,30,1,1,0,1.0,155493.22,804.0,Laborers,3.0,1.0,44204.15,37730.29,84,605.0,1,1,1.0
CST_155767,Zhou,23,1,1,1,0.0,252445.92,3521.0,Managers,2.0,1.0,16319.23,50787.55,60,778.0,0,0,0.0
CST_160499,Prodhan,49,0,0,1,0.0,165743.77,215.0,Sales staff,2.0,0.0,16757.49,35717.63,19,797.0,0,0,0.0
CST_116206,Gerry Shih,35,0,1,1,2.0,146173.46,2401.0,Laborers,4.0,0.0,26149.86,16165.01,59,898.0,0,0,0.0
CST_132169,Lucy,35,1,0,1,0.0,126049.89,3249.0,Drivers,2.0,0.0,12947.06,31723.69,24,673.0,0,0,0.0
CST_165684,Henry,50,0,1,1,2.0,104844.01,769.0,Security staff,4.0,0.0,31300.76,16738.19,91,733.0,0,0,0.0
CST_146093,Robin,30,0,0,1,0.0,158650.59,1020.0,Private service staff,2.0,0.0,12453.24,21161.81,3,692.0,0,0,0.0
CST_137910,Julie,43,0,0,1,0.0,144740.06,2474.0,Unknown,2.0,0.0,34487.79,15494.28,34,832.0,0,0,0.0
CST_106581,Martinne Geller,51,0,0,1,0.0,235816.61,6083.0,Core staff,1.0,0.0,34667.99,59964.76,6,693.0,0,0,0.0
CST_161614,Saphir,55,1,0,1,0.0,183208.77,5371.0,Laborers,2.0,0.0,44322.33,65737.3,64,719.0,0,0,0.0
CST_101480,Donny Kwok,51,1,1,1,0.0,113705.0,1113.0,Drivers,2.0,1.0,19632.64,27161.3,8,729.0,0,0,0.0
CST_141824,Jonathan,50,0,0,1,1.0,305916.59,1713.0,Sales staff,2.0,0.0,32925.25,54879.6,74,834.0,0,0,0.0
CST_122839,Nigel Davies,31,1,0,1,0.0,248040.91,877.0,Sales staff,1.0,0.0,16371.24,30431.17,51,870.0,0,0,0.0
CST_125801,R,44,0,0,1,1.0,151446.55,1319.0,Medicine staff,3.0,0.0,13474.73,30430.94,69,856.0,0,0,0.0
CST_128194,Bernie,26,0,0,0,2.0,143922.01,200.0,Laborers,4.0,1.0,42095.84,32269.27,26,918.0,0,0,0.0
CST_107840,asil Katz,26,0,0,1,0.0,127512.8,1141.0,Core staff,2.0,0.0,7975.48,23620.01,81,675.0,0,0,0.0
CST_102804,James Topham,33,0,0,1,0.0,221729.63,3310.0,Unknown,2.0,0.0,52746.91,62814.74,80,803.0,0,0,0.0
CST_104292,Sarah Marsh,28,0,0,1,0.0,175397.61,105.0,Accountants,2.0,0.0,37332.93,23435.72,54,773.0,0,0,0.0
CST_123377,Maria Kiselyova,28,0,0,1,2.0,34671.82,2959.0,Cooking staff,4.0,0.0,20447.85,13092.29,58,746.0,0,0,0.0
CST_102860,Sinead Cruise,47,1,0,1,1.0,74597.98,1455.0,Laborers,3.0,0.0,10713.66,20756.88,64,693.0,0,0,0.0
CST_161903,Scuffham,48,1,1,1,0.0,241946.14,2455.0,Unknown,1.0,0.0,46449.96,83828.19,77,687.0,0,0,0.0
CST_141609,Stanley,39,1,0,1,1.0,150836.09,600.0,Low-skill Laborers,3.0,0.0,34631.87,32163.53,41,672.0,0,0,0.0
CST_156285,Smith,27,0,0,1,0.0,107067.86,4058.0,High skill tech staff,2.0,0.0,9921.38,22162.95,67,827.0,0,0,0.0
CST_157962,Schnurr,39,0,0,0,0.0,145629.58,249.0,Waiters/barmen staff,1.0,0.0,21868.31,47308.73,5,749.0,0,0,0.0
CST_101625,Matthew Goldstein,32,0,0,1,0.0,194816.45,759.0,Laborers,2.0,1.0,39955.37,37009.17,56,685.0,0,0,0.0
CST_126380,Tony Munroe,27,0,0,0,0.0,175380.67,1649.0,Sales staff,1.0,0.0,8785.11,23878.32,48,873.0,0,0,0.0
CST_101369,Daniel Flynn,30,0,1,1,1.0,194974.15,626.0,Laborers,3.0,0.0,27502.0,30481.92,96,861.0,0,0,0.0
CST_115154,Ryan Vlastelica,29,0,0,0,1.0,134487.76,162.0,Laborers,3.0,0.0,40792.76,20576.63,17,902.0,0,0,0.0
CST_126173,Svea Herbst-Bayliss,29,0,0,1,0.0,79631.52,1633.0,Sales staff,2.0,0.0,20357.75,21364.42,52,807.0,0,0,0.0
CST_126270,Greg Roumeliotis,30,0,0,1,0.0,110953.8,1589.0,High skill tech staff,1.0,0.0,19059.27,20152.72,40,757.0,0,0,0.0
CST_138850,Svea,54,0,0,1,0.0,96122.88,925.0,Sales staff,1.0,0.0,8684.96,15984.01,34,758.0,0,0,0.0
CST_149693,Nicolaci,32,0,0,1,1.0,143134.09,986.0,Accountants,3.0,0.0,10017.6,40561.72,3,853.0,0,0,0.0
CST_114866,Andrea Shalal-Esa,30,1,1,0,0.0,249479.17,3258.0,Laborers,2.0,0.0,12560.77,46098.38,27,807.0,0,0,0.0
CST_158680,Slater,39,1,0,0,1.0,222221.82,922.0,Managers,3.0,0.0,26950.05,26823.26,53,947.0,0,0,0.0
CST_117016,en Hirschler,23,0,0,1,0.0,304886.99,2813.0,Medicine staff,1.0,1.0,32905.17,72511.4,19,816.0,0,0,0.0
CST_149290,Carew,47,1,1,1,0.0,168235.37,1675.5,Laborers,2.0,1.0,10760.94,20874.19,76,520.0,2,0,1.0
CST_111363,Alistair Barr,24,1,0,0,1.0,338661.86,253.0,Laborers,3.0,0.0,36976.12,75596.1,22,880.0,0,0,0.0
CST_163458,Henry,24,0,0,1,1.0,244314.6,3765.0,Accountants,2.0,0.0,32031.35,54343.51,62,744.0,0,0,0.0
CST_122056,Wolde,37,1,0,1,1.0,167428.1,487.0,Drivers,3.0,1.0,10924.94,47992.23,36,722.0,0,0,0.0
CST_144330,Chen,47,0,0,1,1.0,96823.49,4984.0,Accountants,3.0,0.0,13103.58,34761.19,97,923.0,0,0,0.0
CST_162636,Hetzner,46,0,0,1,1.0,102945.36,1297.0,Laborers,3.0,0.0,49103.79,33135.34,54,742.0,0,0,0.0
CST_148727,Lauria,46,0,0,1,0.0,241375.52,4855.0,Unknown,2.0,0.0,43524.76,32516.26,18,740.0,0,0,0.0
CST_153026,Brown,32,1,1,1,2.0,312835.33,736.0,Laborers,4.0,1.0,48242.65,35841.92,71,849.0,0,0,0.0
CST_145945,Robin,42,1,0,1,0.0,255804.23,938.0,Core staff,2.0,1.0,14319.34,53852.84,1,930.0,0,0,0.0
CST_153868,Cinelli,46,1,1,1,0.0,165811.31,4697.0,Drivers,2.0,0.0,31204.1,40746.75,63,788.0,0,0,0.0
CST_103898,Alexei Oreskovic,38,0,0,1,0.0,172498.58,5216.0,Unknown,2.0,1.0,56195.35,28941.41,91,781.0,0,0,0.0
CST_105335,Foo Yun,47,0,0,1,0.0,170169.77,2663.0,Accountants,2.0,0.0,27654.5,18925.53,74,940.0,0,0,0.0
